FE,Def_total_Hm3,Rebalse_total_Hm3,Satisf_prom_pct,TOTAL_fin_Hm3,Qturb_total_Hm3,Qdis_prom_Hm3_mes,init_label
0.5,8640.526247960679,4986.945223562548,74.8425570018612,174.91287139999503,10153.869880602479,57.70712639999999,Init 0%
0.6,8227.249025371815,4633.3044039422375,67.35737486981819,115.27646842970555,10213.50628357041,57.70712639999999,Init 0%
0.7,7834.468715014645,4293.135760064633,61.79874734799254,62.66480195000244,10266.11795004999,57.70712639999999,Init 0%
0.8,7535.128006999969,4023.7840566000896,56.783860224777975,32.67579739992361,10296.106954600098,57.70712639999999,Init 0%
0.9,7340.685713213628,3843.5725173339792,52.03925552209235,18.445042880015816,10310.337709120362,57.70712639999999,Init 0%
1.0,7189.9295406204765,3704.9700102205043,47.927176492680246,6.291377400000003,10322.491374600026,57.70712639999999,Init 0%
0.5,8549.642165361269,5031.161140961336,76.15900684078834,174.9128714,10288.969880600058,57.70712639999999,Init 25%
0.6,8128.368302441928,4669.52368101223,68.55094206782624,115.27646842970705,10348.60628357029,57.70712639999999,Init 25%
0.7,7720.139062408689,4313.906107460578,62.98164545333521,62.66480195000199,10401.217950052876,57.70712639999999,Init 25%
0.8,7405.5692421200065,4029.3252917200307,57.95676648542096,32.67579739999999,10431.206954600018,57.70712639999999,Init 25%
0.9,7206.257058317054,3844.2438624550123,53.12102777053262,18.445042864363124,10445.437709137996,57.70712639999999,Init 25%
1.0,7054.829540620503,3704.970010220506,48.905633710667146,6.291377400000019,10457.591374599997,57.70712639999999,Init 25%
0.5,8494.261959359195,5110.680934961353,76.96118540920199,174.91287139999977,10423.869880602128,57.70712639999999,Init 50%
0.6,8054.719764007498,4730.775142577801,69.43993718286904,115.27646842970589,10483.50628357029,57.70712639999999,Init 50%
0.7,7624.004966288687,4352.67201134059,63.97628540515168,62.664801950002364,10536.11795005289,57.70712639999999,Init 50%
0.8,7296.39256539972,4055.0486150000434,58.945152008855544,32.67579739997303,10566.10695460039,57.70712639999999,Init 50%
0.9,7094.7901806147875,3867.6769847351916,54.018022351125346,18.445042880008202,10580.337709120402,57.70712639999999,Init 50%
1.0,6939.164118020488,3724.204587620522,49.74333665377978,6.291377400000003,10592.49137460003,57.70712639999999,Init 50%
0.5,8474.863158736305,5226.382134336347,77.24217573473507,174.9128713999998,10558.969880600034,57.70712639999999,Init 75%
0.6,8022.194757895499,4833.350136465759,69.83253929236031,115.27646842970654,10618.606283570247,57.70712639999999,Init 75%
0.7,7573.9477761169655,4437.714821167374,64.49419614889361,62.664801950002456,10671.217950050406,57.70712639999999,Init 75%
0.8,7241.0237851993825,4134.779834799995,59.44641017538185,32.67579739996614,10701.206954600588,57.70712639999999,Init 75%
0.9,7039.114680414948,3947.1014845350105,54.46605339837903,18.445042880008216,10715.437709120062,57.70712639999999,Init 75%
1.0,6883.181897816524,3803.3223674205083,50.148786005648866,6.2913773997986775,10727.591374604102,57.70712639999999,Init 75%
0.5,8474.86315873627,5361.28213433634,77.24217573473555,174.912871399999,10693.869880600061,57.70712639999999,Init 100%
0.6,8022.194757895499,4968.250136465758,69.83253929236031,115.27646842970654,10753.506283570248,57.70712639999999,Init 100%
0.7,7573.947776117505,4572.6148211674845,64.49419614888802,62.66480195000145,10806.117950049975,57.70712639999999,Init 100%
0.8,7241.023785199915,4269.679834800059,59.446410175377025,32.67579739992678,10836.106954600116,57.70712639999999,Init 100%
0.9,7039.114680414978,4082.001484535014,54.46605339837879,18.44504288001685,10850.337709120025,57.70712639999999,Init 100%
1.0,6883.181897820393,3938.222367420407,50.14878600562084,6.291377400000004,10862.49137460001,57.70712639999999,Init 100%
